C_NAMEVI,C_NAMEEN,D_NAME,P_NAME,C_CODE,D_CODE,P_CODE,CODE_OLD
Quúnh Trang,Quynh Trang,Quúnh Phô,Thai Binh,12577,338,34,1150349
An Ninh,An Ninh,Quúnh Phô,Thai Binh,12514,338,34,1150353
Quúnh Thä,Quynh Tho,Quúnh Phô,Thai Binh,12487,338,34,1150315
Quúnh Giao,Quynh Giao,Quúnh Phô,Thai Binh,12496,338,34,1150311
Quúnh L©m,Quynh Lam,Quúnh Phô,Thai Binh,12484,338,34,1150303
Quúnh Hoµng,Quynh Hoang,Quúnh Phô,Thai Binh,12493,338,34,1150305
Quúnh X¸,Quynh Xa,Quúnh Phô,Thai Binh,12568,338,34,1150351
Quúnh B¶o,Quynh Bao,Quúnh Phô,Thai Binh,12556,338,34,1150345
An §ång,An Dong,Quúnh Phô,Thai Binh,12478,338,34,1150319
Quúnh Minh,Quynh Minh,Quúnh Phô,Thai Binh,12511,338,34,1150327
Quúnh Ch©u,Quynh Chau,Quúnh Phô,Thai Binh,12544,338,34,1150343
§ång TiÕn,Dong Tien,Quúnh Phô,Thai Binh,12583,338,34,1150375
An Thanh,An Thanh,Quúnh Phô,Thai Binh,12541,338,34,1150363
Quúnh Hång,Quynh Hong,Quúnh Phô,Thai Binh,12505,338,34,1150335
An Th¸i,An Thai,Quúnh Phô,Thai Binh,12499,338,34,1150323
Quúnh S¬n,Quynh Son,Quúnh Phô,Thai Binh,12532,338,34,1150339
An Mü,An My,Quúnh Phô,Thai Binh,12559,338,34,1150365
Quúnh H¶i,Quynh Hai,Quúnh Phô,Thai Binh,12520,338,34,1150333
Quúnh Héi,Quynh Hoi,Quúnh Phô,Thai Binh,12529,338,34,1150331
T©n B×nh,Tan Binh,Vò Th­,Thai Binh,13225,344,34,1151123
Vò Vinh,Vu Vinh,Vò Th­,Thai Binh,13267,344,34,1151151
Hång Phong,Hong Phong,Vò Th­,Thai Binh,13282,344,34,1151161
Trung An,Trung An,Vò Th­,Thai Binh,13252,344,34,1151143
TT Vò Th­,Vu Thu Town,Vò Th­,Thai Binh,13192,344,34,1151101
Xu©n Hßa,Xuan Hoa,Vò Th­,Thai Binh,13201,344,34,1151107
Phóc Thµnh,Phuc Thanh,Vò Th­,Thai Binh,13207,344,34,1151111
ViÖt ThuËn,Viet Thuan,Vò Th­,Thai Binh,13264,344,34,1151149
Duy NhÊt,Duy Nhat,Vò Th­,Thai Binh,13279,344,34,1151159
Hoµ B×nh,Hoa Binh,Vò Th­,Thai Binh,13258,344,34,1151141
Dòng NghÜa,Dung Nghia,Vò Th­,Thai Binh,13231,344,34,1151127
T©n Phong,Tan Phong,Vò Th­,Thai Binh,13210,344,34,1151113
Minh L·ng,Minh Lang,Vò Th­,Thai Binh,13222,344,34,1151121
HiÖp Hßa,Hiep Hoa,Vò Th­,Thai Binh,13204,344,34,1151109
§ång Thanh,Dong Thanh,Vò Th­,Thai Binh,13198,344,34,1151105
Vò TiÕn,Vu Tien,Vò Th­,Thai Binh,13273,344,34,1151155
Song An,Song An,Vò Th­,Thai Binh,13249,344,34,1151139
Minh Khai,Minh Khai,Vò Th­,Thai Binh,13228,344,34,1151125
T©n Hßa,Tan Hßa,Vò Th­,Thai Binh,13216,344,34,1151117
Vò Héi,Vu Hoi,Vò Th­,Thai Binh,13255,344,34,1151145
Minh Quang,Minh Quang,Vò Th­,Thai Binh,13234,344,34,1151129
Nguyªn X¸,Nguyen Xa,Vò Th­,Thai Binh,13261,344,34,1151147
ViÖt Hïng,Viet Hung,Vò Th­,Thai Binh,13219,344,34,1151119
Tù T©n,Tu Tan,Vò Th­,Thai Binh,13246,344,34,1151135
Tam Quang,Tam Quang,Vò Th­,Thai Binh,13237,344,34,1151131
Mý Léc,My Loc,Th¸i Thôy,Thai Binh,12949,341,34,1150777
§«ng Trµ,Dong Tra,TiÒn H¶i,Thai Binh,12976,342,34,1151505
Nguyªn C¸c,Nguyen Cac,§«ng H­ng,Thai Binh,12751,340,34,1150939
§«ng H­ng,Dong Hung,§«ng H­ng,Thai Binh,12688,340,34,1150901
Vò An,Vu An,KiÕn X­¬ng,Thai Binh,13129,343,34,1151315
TT. Thanh Nª,Thanh Ne Town,KiÕn X­¬ng,Thai Binh,13075,343,34,1151361
§ång Phó,Dong Phu,§«ng H­ng,Thai Binh,12823,340,34,1150961
§«ng Quang,Dong Quang,§«ng H­ng,Thai Binh,12796,340,34,1150973
Hång Minh,Hong Minh,H­ng Hµ,Thai Binh,12685,339,34,1150559
Hång Lý,Hong Ly,Vò Th­,Thai Binh,13195,344,34,1151103
Nam Th¾ng,Nam Thang,TiÒn H¶i,Thai Binh,13042,342,34,1151551
Nam Thanh,Nam Thanh,TiÒn H¶i,Thai Binh,13057,342,34,1151551
T©y TiÕn,Tay Tien,TiÒn H¶i,Thai Binh,13033,342,34,1151543
Nam C­êng,Nam Cuong,TiÒn H¶i,Thai Binh,13036,342,34,1151545
Song L·ng,Song Lang,Vò Th­,Thai Binh,13213,344,34,1151115
Hoµ TiÕn,Hoa TiÕn,H­ng Hµ,Thai Binh,12604,339,34,1150517
Hång Ch©u,Hong Chau,§«ng H­ng,Thai Binh,12778,340,34,1150947
ChÝ Hoµ,Chi Hoa,H­ng Hµ,Thai Binh,12679,339,34,1150551
B¹ch §»ng,Bach Dang,§«ng H­ng,Thai Binh,12781,340,34,1150947
B×nh Nguyªn,Binh Nguyen,KiÕn X­¬ng,Thai Binh,13096,343,34,1151323
Thanh T©n,Thanh Tan,KiÕn X­¬ng,Thai Binh,13114,343,34,1151331
QuyÕt TiÕn,Quyet Tien,KiÕn X­¬ng,Thai Binh,13105,343,34,1151323
Hång Th¸i,Hong Thai,KiÕn X­¬ng,Thai Binh,13093,343,34,1151319
Th­îng HiÒn,Thuong Hien,KiÕn X­¬ng,Thai Binh,13117,343,34,1151355
Nam Cao,Nam Cao,KiÕn X­¬ng,Thai Binh,13120,343,34,1151329
Lª Lîi,Le Loi,KiÕn X­¬ng,Thai Binh,13102,343,34,1151325
An CÇu,An Cau,Quúnh Phô,Thai Binh,12502,338,34,1150329
An Êp,An Ap,Quúnh Phô,Thai Binh,12526,338,34,1150329
An Quý,An Quy,Quúnh Phô,Thai Binh,12538,338,34,1150353
An LÔ,An Le,Quúnh Phô,Thai Binh,12550,338,34,1150367
Thôy H¶i,Thuy Hai,Th¸i Thôy,Thai Binh,12880,341,34,1150733
Thôy L­¬ng,Thuy Luong,Th¸i Thôy,Thai Binh,12886,341,34,1150733
An Vò,An Vu,Quúnh Phô,Thai Binh,12547,338,34,1150369
An Bµi,An Bai,Quúnh Phô,Thai Binh,12523,338,34,1150361
Thôy Ninh,Thuy Ninh,Th¸i Thôy,Thai Binh,12850,341,34,1150703
Thôy H­ng,Thuy Hung,Th¸i Thôy,Thai Binh,12853,341,34,1150719
Thôy Dòng,Thuy Dung,Th¸i Thôy,Thai Binh,12838,341,34,1150743
Thôy Thanh,Thuy Thanh,Th¸i Thôy,Thai Binh,12898,341,34,1150711
Thôy D©n,Thuy Dan,Th¸i Thôy,Thai Binh,12877,341,34,1150707
Quang Minh,Quang Minh,KiÕn X­¬ng,Thai Binh,13162,343,34,1151363
An Khª,An Khª,Quúnh Phô,Thai Binh,12475,338,34,1150321
§«ng X¸,Dong Xa,§«ng H­ng,Thai Binh,12724,340,34,1150925
Vò L¹c,Vu Lac,KiÕn X­¬ng,Thai Binh,13108,343,34,1151309
Th¸i ThuÇn,Thai Thuan,Th¸i Thôy,Thai Binh,12955,341,34,1150767
TiÕn §øc,Tien Duc,H­ng Hµ,Thai Binh,12646,339,34,1150507
Vò §oµi,Vu Doai,Vò Th­,Thai Binh,13270,344,34,1151153
Vò V©n,Vu Van,Vò Th­,Thai Binh,13276,344,34,1151157
Vò B×nh,Vu Binh,KiÕn X­¬ng,Thai Binh,13174,343,34,1151347
Minh T©n,Minh Tan,KiÕn X­¬ng,Thai Binh,13177,343,34,1151375
Nam ChÝnh,Nam Chinh,TiÒn H¶i,Thai Binh,13045,342,34,1151549
T©n LËp,Tan Lap,Vò Th­,Thai Binh,13240,344,34,1151133
B¸ch ThuËn,Bach Thuan,Vò Th­,Thai Binh,13243,344,34,1151137
Minh T©n,Minh Tan,§«ng H­ng,Thai Binh,12721,340,34,1150915
Quúnh Mü,Quynh My,Quúnh Phô,Thai Binh,12535,338,34,0
Yªn Tr¹ch,Yen Trach,Phó L­¬ng,Thai Nguyen,5617,168,19,2150907
¤n L­¬ng,On Luong,Phó L­¬ng,Thai Nguyen,5626,168,19,2150913
Yªn §æ,Yen Do,Phó L­¬ng,Thai Nguyen,5620,168,19,2150909
Hîp Thµnh,Hop Thanh,Phó L­¬ng,Thai Nguyen,5638,168,19,2150919
Phñ Lý,Phu Ly,Phó L­¬ng,Thai Nguyen,5632,168,19,2150917
§éng §¹t,Dong Dat,Phó L­¬ng,Thai Nguyen,5629,168,19,2150915
§u,Du,Phó L­¬ng,Thai Nguyen,5611,168,19,2150901
Phó §é,Phu Do,Phó L­¬ng,Thai Nguyen,5635,168,19,2150921
Tøc Tranh,Tuc Tranh,Phó L­¬ng,Thai Nguyen,5641,168,19,2150923
Hoµ B×nh,Hoa Binh,§ång Hû,Thai Nguyen,5671,169,19,2151111
T©n Long,Tan Long,§ång Hû,Thai Nguyen,5668,169,19,2151109
Quang S¬n,Quang Son,§ång Hû,Thai Nguyen,5674,169,19,2151113
Minh LËp,Minh Lap,§ång Hû,Thai Nguyen,5677,169,19,2151115
V« Tranh,Vo tranh,Phó L­¬ng,Thai Nguyen,5647,168,19,2150927
PhÉn MÔ,Phan Me,Phó L­¬ng,Thai Nguyen,5644,168,19,2150925
Cæ Lòng,Co Lung,Phó L­¬ng,Thai Nguyen,5650,168,19,2150929
Ho¸ Trung,Hoa Trung,§ång Hû,Thai Nguyen,5683,169,19,2151119
S«ng CÇu,Song Cau,§ång Hû,Thai Nguyen,5656,169,19,2151103
Khe Mo,Khe Mo,§ång Hû,Thai Nguyen,5686,169,19,2151121
Ho¸ Th­îng,Hoa Thuong,§ång Hû,Thai Nguyen,5692,169,19,2151125
Chïa Hang,Chua Hang,§ång Hû,Thai Nguyen,5659,169,19,2151101
Cao Ng¹n,Cao Ngan,§ång Hû,Thai Nguyen,5695,169,19,2151129
Phóc Hµ,Phuc Ha,Thµnh phè Th¸i Nguyªn,Thai Nguyen,5485,164,19,2150135
T©n Long,Tan Long,Thµnh phè Th¸i Nguyªn,Thai Nguyen,5482,164,19,2150103
Quang Vinh,Quang Vinh,Thµnh phè Th¸i Nguyªn,Thai Nguyen,5434,164,19,2150107
Hµng V¨n Thô0,Hoang Van Thu,Thµnh phè Th¸i Nguyªn,Thai Nguyen,5440,164,19,2150111
Quang Trung,Quang Trung,Thµnh phè Th¸i Nguyªn,Thai Nguyen,5446,164,19,2150109
Phan §×nh Phïng,Phan Dinh Phung,Thµnh phè Th¸i Nguyªn,Thai Nguyen,5449,164,19,2150115
Tr­ng V­¬ng,Trung Vuong,Thµnh phè Th¸i Nguyªn,Thai Nguyen,5443,164,19,2150101
§ång BÈm,Dong Bam,§ång Hû,Thai Nguyen,5710,169,19,2151137
Linh S¬n,Linh Son,§ång Hû,Thai Nguyen,5701,169,19,2151133
V¨n H¸n,Van Han,§ång Hû,Thai Nguyen,5680,169,19,2151117
Hîp TiÕn,Hop Tien,§ång Hû,Thai Nguyen,5698,169,19,2151127
C©y ThÞ,Cay Thi,§ång Hû,Thai Nguyen,5689,169,19,2151123
Tr¹i Cau,Trai Cau,§ång Hû,Thai Nguyen,5662,169,19,2151105
T©n Lîi,Tan Loi,§ång Hû,Thai Nguyen,5704,169,19,2151131
Huèng Th­îng,Huong Thuong,§ång Hû,Thai Nguyen,5713,169,19,2151139
Tóc Duyªn,Tuc Duyen,Thµnh phè Th¸i Nguyªn,Thai Nguyen,5437,164,19,2150117
Gia Sµng,Gia Sang,Thµnh phè Th¸i Nguyªn,Thai Nguyen,5461,164,19,2150121
T©n LËp,Tan Lap,Thµnh phè Th¸i Nguyªn,Thai Nguyen,5464,164,19,2150123
§ång Quang,Dong Quang,Thµnh phè Th¸i Nguyªn,Thai Nguyen,5458,164,19,2150113
T©n ThÞnh,Tan Thinh,Thµnh phè Th¸i Nguyªn,Thai Nguyen,5452,164,19,2150119
B×nh S¬n,Binh Son,S«ng C«ng,Thai Nguyen,5530,165,19,2150310
Vinh S¬n,Vinh Son,S«ng C«ng,Thai Nguyen,5524,165,19,2150309
ThÞnh §øc,Thinh Duc,Thµnh phè Th¸i Nguyªn,Thai Nguyen,5497,164,19,2150143
TÝch L­¬ng,Tich Luong,Thµnh phè Th¸i Nguyªn,Thai Nguyen,5500,164,19,2150147
Phó X¸,Phu Xa,Thµnh phè Th¸i Nguyªn,Thai Nguyen,5470,164,19,2150125
cam gi¸,Cam Gia,Thµnh phè Th¸i Nguyªn,Thai Nguyen,5467,164,19,2150127
H­¬ng S¬n,Huong Son,Thµnh phè Th¸i Nguyªn,Thai Nguyen,5473,164,19,2150131
Nam Hoµ,Nam Hoa,§ång Hû,Thai Nguyen,5707,169,19,2151135
Trung Thµnh,Trung Thanh,Thµnh phè Th¸i Nguyªn,Thai Nguyen,5476,164,19,2150129
T©n Thµnh,Tan Thanh,Thµnh phè Th¸i Nguyªn,Thai Nguyen,5479,164,19,2150133
L­¬ng S¬n,Luong Son,Thµnh phè Th¸i Nguyªn,Thai Nguyen,5506,164,19,2150149
T©n Quang,Tan Quang,S«ng C«ng,Thai Nguyen,5527,165,19,2150307
B¸ Xuyªn,Ba Xuyen,S«ng C«ng,Thai Nguyen,5533,165,19,2150309
L­¬ng Ch©u,Luong Chau,S«ng C«ng,Thai Nguyen,5509,165,19,2150303
Má ChÌ,Mo Che,S«ng C«ng,Thai Nguyen,5512,165,19,2150305
Th¾ng Lîi,Thang Loi,S«ng C«ng,Thai Nguyen,5518,165,19,2150301
Giang Tiªn,Giang Tien,Phó L­¬ng,Thai Nguyen,5608,168,19,2150903
Hµ Ch©u,Ha Chau,Phó B×nh,Thai Nguyen,5968,173,19,2151543
Xu©n Ph­¬ng,Xuan Phuong,Phó B×nh,Thai Nguyen,5944,173,19,2151527
T©n Thµnh,Tan Thanh,Phó B×nh,Thai Nguyen,5923,173,19,2151511
Bµn §¹t,Ban Dat,Phó B×nh,Thai Nguyen,5911,173,19,2151503
Th­îng §×nh,Thuong Dinh,Phó B×nh,Thai Nguyen,5932,173,19,2151515
T©n §øc,Tan Duc,Phó B×nh,Thai Nguyen,5947,173,19,2151531
Thanh Ninh,Thanh Ninh,Phó B×nh,Thai Nguyen,5962,173,19,2151539
T©n Hoµ,Tan Hoa,Phó B×nh,Thai Nguyen,5935,173,19,2151519
§iÒm Thôy,Diem Thuy,Phó B×nh,Thai Nguyen,5941,173,19,2151521
T©n Kh¸nh,Tan Khanh,Phó B×nh,Thai Nguyen,5917,173,19,2151507
Nga My,Nga My,Phó B×nh,Thai Nguyen,5956,173,19,2151535
L­¬ng Phó,Luong Phu,Phó B×nh,Thai Nguyen,5953,173,19,2151529
Nh· Léng,Nha Long,Phó B×nh,Thai Nguyen,5938,173,19,2151525
T©n Kim,Tan Kim,Phó B×nh,Thai Nguyen,5920,173,19,2151509
§µo X¸,Dao Xa,Phó B×nh,Thai Nguyen,5926,173,19,2151513
óc Kú,Uc Ky,Phó B×nh,Thai Nguyen,5950,173,19,2151533
D­¬ng Thµnh,Duong Thanh,Phó B×nh,Thai Nguyen,5965,173,19,2151541
B¶o Lý,Bao Ly,Phó B×nh,Thai Nguyen,5929,173,19,2151517
Kha S¬n,Kha Son,Phó B×nh,Thai Nguyen,5959,173,19,2151537
H­¬ng S¬n,Huong Son,Phó B×nh,Thai Nguyen,5908,173,19,2151501
B·i §«ng,Bai Bong,Phæ Yªn,Thai Nguyen,5854,172,19,2151703
Tiªn Phong,Tien Phong,Phæ Yªn,Thai Nguyen,5884,172,19,2151723
Phóc ThuËn,Phuc Thuan,Phæ Yªn,Thai Nguyen,5866,172,19,2151711
§¾c S¬n,Dac Son,Phæ Yªn,Thai Nguyen,5875,172,19,2151717
T©n Phó,Tan Phu,Phæ Yªn,Thai Nguyen,5902,172,19,2151735
Hång TiÕn,Hong Tien,Phæ Yªn,Thai Nguyen,5869,172,19,2151713
B¾c S¬n,Bac Son,Phæ Yªn,Thai Nguyen,5857,172,19,2151705
§«ng Cao,Dong Cao,Phæ Yªn,Thai Nguyen,5896,172,19,2151731
§ång TiÕn,Dong Tien,Phæ Yªn,Thai Nguyen,5878,172,19,2151721
Minh §øc,Minh Duc,Phæ Yªn,Thai Nguyen,5872,172,19,2151715
Ba Hµng,Ba Hang,Phæ Yªn,Thai Nguyen,5860,172,19,2151701
Nam TiÕn,Nam Tien,Phæ Yªn,Thai Nguyen,5890,172,19,2151727
C¸t Nª,Cat Ne,§¹i Tõ,Thai Nguyen,5848,171,19,2151357
Lôc Ba,Luc Ba,§¹i Tõ,Thai Nguyen,5833,171,19,2151347
La B»ng,La Bang,§¹i Tõ,Thai Nguyen,5815,171,19,2151333
Na Mao,Na Mao,§¹i Tõ,Thai Nguyen,5782,171,19,2151315
T©n Linh,Tan Linh,§¹i Tõ,Thai Nguyen,5788,171,19,2151320
Minh TiÕn,Minh Tien,§¹i Tõ,Thai Nguyen,5770,171,19,2151307
TT. Qu©n Chu,TT. Quan Chu,§¹i Tõ,Thai Nguyen,5764,171,19,2151303
V¨n Yªn,Van Yen,§¹i Tõ,Thai Nguyen,5842,171,19,2151351
An Kh¸nh,An Khanh,§¹i Tõ,Thai Nguyen,5824,171,19,2151341
Kh«i Kú,Khoi Ky,§¹i Tõ,Thai Nguyen,5821,171,19,2151339
B¶n Ngo¹i,Ban Ngoai,§¹i Tõ,Thai Nguyen,5800,171,19,2151325
Yªn L·ng,Yen Lang,§¹i Tõ,Thai Nguyen,5773,171,19,2151309
Phôc Linh,Phuc Linh,§¹i Tõ,Thai Nguyen,5794,171,19,2151319
Phóc L­¬ng,Phuc Luong,§¹i Tõ,Thai Nguyen,5767,171,19,2151305
V¹n Thä,Van Tho,§¹i Tõ,Thai Nguyen,5839,171,19,2151355
Phó ThÞnh,Phu Thinh,§¹i Tõ,Thai Nguyen,5791,171,19,2151321
Kú Phó,Ky Phu,§¹i Tõ,Thai Nguyen,5845,171,19,2151353
Hµ Th­îng,Ha Thuong,§¹i Tõ,Thai Nguyen,5812,171,19,2151335
Hoµng N«ng,Hoang Nong,§¹i Tõ,Thai Nguyen,5818,171,19,2151337
§øc L­¬ng,Duc Luong,§¹i Tõ,Thai Nguyen,5776,171,19,2151311
Qu©n Chu,Quan Chu,§¹i Tõ,Thai Nguyen,5851,171,19,2151359
B×nh ThuËn,Binh Thuan,§¹i Tõ,Thai Nguyen,5830,171,19,2151345
Tiªn Héi,Tien Hoi,§¹i Tõ,Thai Nguyen,5803,171,19,2151327
Phó L¹c,Phu Lac,§¹i Tõ,Thai Nguyen,5785,171,19,2151317
Mü Yªn,My Yen,§¹i Tõ,Thai Nguyen,5836,171,19,2151349
Phó C­êng,Phu Cuong,§¹i Tõ,Thai Nguyen,5779,171,19,2151313
Phó Xuyªn,Phu Xuyen,§¹i Tõ,Thai Nguyen,5797,171,19,2151323
Phó TiÕn,Phu Tien,§Þnh Hãa,Thai Nguyen,5593,167,19,2150539
Thanh §Þnh,Thanh Dinh,§Þnh Hãa,Thai Nguyen,5578,167,19,2150531
Phóc Chu,Phuc Chu,§Þnh Hãa,Thai Nguyen,5560,167,19,2150517
Linh Th«ng,Linh Thong,§Þnh Hãa,Thai Nguyen,5539,167,19,2150503
Kim Ph­îng,Kim Phuong,§Þnh Hãa,Thai Nguyen,5551,167,19,2150511
S¬n Phó,Son Phu,§Þnh Hãa,Thai Nguyen,5599,167,19,2150543
Béc Nhiªu,Boc Nhieu,§Þnh Hãa,Thai Nguyen,5596,167,19,2150541
§iÓm M¹c,Diem Mac,§Þnh Hãa,Thai Nguyen,5590,167,19,2150537
§Þnh Biªn,Dinh Bien,§Þnh Hãa,Thai Nguyen,5575,167,19,2150527
Chî Chu,Cho Chu,§Þnh Hãa,Thai Nguyen,5536,167,19,2150501
Quy Kú,Quy Ky,§Þnh Hãa,Thai Nguyen,5545,167,19,2150507
B×nh Yªn,Binh Yen,§Þnh Hãa,Thai Nguyen,5587,167,19,2150535
B¶o Linh,Bao Linh,§Þnh Hãa,Thai Nguyen,5554,167,19,2150515
B¶o C­êng,Bao Cuong,§Þnh Hãa,Thai Nguyen,5569,167,19,2150523
T©n D­¬ng,Tan Duong,§Þnh Hãa,Thai Nguyen,5563,167,19,2150519
Lam VÜ,Lam Vi,§Þnh Hãa,Thai Nguyen,5542,167,19,2150505
Kim S¬n,Kim Son,§Þnh Hãa,Thai Nguyen,5557,167,19,2150513
B×nh Thµnh,Binh Thanh,§Þnh Hãa,Thai Nguyen,5605,167,19,2150547
T©n ThÞnh,Tan Thinh,§Þnh Hãa,Thai Nguyen,5548,167,19,2150509
Phó §inh,Phu Dinh,§Þnh Hãa,Thai Nguyen,5602,167,19,2150545
Trung Héi,Trung Hoi,§Þnh Hãa,Thai Nguyen,5581,167,19,2150529
Trung L­¬ng,Trung Luong,§Þnh Hãa,Thai Nguyen,5584,167,19,2150533
Ph­îng TiÕn,Phuong Tien,§Þnh Hãa,Thai Nguyen,5566,167,19,2150521
§«ng ThÞnh,Dong Thinh,§Þnh Hãa,Thai Nguyen,5572,167,19,2150525
Yªn Ninh,Yen Ninh,Phó L­¬ng,Thai Nguyen,5614,168,19,2150905
Yªn L¹c,Yen Lac,Phó L­¬ng,Thai Nguyen,5623,168,19,2150911
V¨n L¨ng,NA,§ång Hû,Thai Nguyen,5665,169,19,2151107
L©u Th­îng,Lau Thuong,Vâ Nhai,Thai Nguyen,5743,170,19,2150717
Nghinh T­êng,Nghinh Tuong,Vâ Nhai,Thai Nguyen,5722,170,19,2150705
ThÇn Xa,Than Xa,Vâ Nhai,Thai Nguyen,5725,170,19,2150707
Ph­¬ng Giao,Phuong Giao,Vâ Nhai,Thai Nguyen,5749,170,19,2150721
Binh Long,Binh Long,Vâ Nhai,Thai Nguyen,5758,170,19,2150729
§×nh C¶,Dinh Ca,Vâ Nhai,Thai Nguyen,5716,170,19,2150701
Cóc §­êng,Cuc Duong,Vâ Nhai,Thai Nguyen,5737,170,19,2150715
S¶ng Méc,Sang Moc,Vâ Nhai,Thai Nguyen,5719,170,19,2150703
D©n TiÕn,Dan Tien,Vâ Nhai,Thai Nguyen,5755,170,19,2150727
La Hiªn,La Hien,Vâ Nhai,Thai Nguyen,5740,170,19,2150723
Phó Th­îng,Phu Thuong,Vâ Nhai,Thai Nguyen,5734,170,19,2150713
Th­îng Nung,Thuong Nung,Vâ Nhai,Thai Nguyen,5731,170,19,2150711
Liªn Minh,Lien Minh,Vâ Nhai,Thai Nguyen,5752,170,19,2150725
Vò ChÊn,Vu Chan,Vâ Nhai,Thai Nguyen,5728,170,19,2150709
Trµng X¸,Trang Xa,Vâ Nhai,Thai Nguyen,5746,170,19,2150719
T©n C­¬ng,Tan Cuong,Thµnh phè Th¸i Nguyªn,Thai Nguyen,5503,164,19,2150145
Phóc Tr×u,Phuc Triu,Thµnh phè Th¸i Nguyªn,Thai Nguyen,5494,164,19,2150141
Phóc T©n,Phuc Tan,Phæ Yªn,Thai Nguyen,5863,172,19,2151707
Phóc Xu©n,Phuc Xuan,Thµnh phè Th¸i Nguyªn,Thai Nguyen,5488,164,19,2150137
T©n Th¸i,Tan Thai,§¹i Tõ,Thai Nguyen,5827,171,19,2151343
Qu¸n TriÒu,Quan Trieu,Thµnh phè Th¸i Nguyªn,Thai Nguyen,5431,164,19,2150105
S¬n CÈm,Son Cam,Phó L­¬ng,Thai Nguyen,5653,168,19,2150931
T©n H­¬ng,Tan Huong,Phæ Yªn,Thai Nguyen,5893,172,19,2151729
C¶i §an,Cai Dan,S«ng C«ng,Thai Nguyen,5515,165,19,2150304
Phè Cß,Pho Co,S«ng C«ng,Thai Nguyen,5521,165,19,2150306
Cï V©n0,Cu Van,§¹i Tõ,Thai Nguyen,5809,171,19,2151331
QuyÕt Th¾ng,Quyet Thang,Thµnh phè Th¸i Nguyªn,Thai Nguyen,5491,164,19,2150139
Hïng S¬n,Hung Son,§¹i Tõ,Thai Nguyen,5806,171,19,2151329
V¹n Ph¸i,Van Phai,Phæ Yªn,Thai Nguyen,5887,172,19,2151725
Thµnh C«ng,Thanh Cong,Phæ Yªn,Thai Nguyen,5881,172,19,2151719
Trung Thµnh,Trung Thanh,Phæ Yªn,Thai Nguyen,5899,172,19,2151733
ThuËn Thµnh,Thuan Thanh,Phæ Yªn,Thai Nguyen,5905,172,19,2151737
§¹i Tõ,Dai Tu,§¹i Tõ,Thai Nguyen,5761,171,19,0
§ång Liªn,Dong Lien,Phó B×nh,Thai Nguyen,5914,173,19,0
Quang ChiÓu,Quang Chieu,M­êng L¸t,Thanh Hoa,14860,384,38,4010709
TT. Quan Ho¸,Quan Hoa town,Quan Hãa,Thanh Hoa,14869,385,38,4010901
HiÒn KiÖt,Hien Kiet,Quan Hãa,Thanh Hoa,14899,385,38,4010909
HiÒn Chung,Hien Chung,Quan Hãa,Thanh Hoa,14896,385,38,4010907
Phó LÖ,Phu Le,Quan Hãa,Thanh Hoa,14884,385,38,4010915
Nam TiÕn,Nam Tien,Quan Hãa,Thanh Hoa,14902,385,38,4010913
Thiªn Phñ,Thien Phu,Quan Hãa,Thanh Hoa,14908,385,38,4010903
Nam §éng,Nam Dong,Quan Hãa,Thanh Hoa,14917,385,38,4010905
Nam Xu©n,Nam Xuan,Quan Hãa,Thanh Hoa,14914,385,38,4010933
Håi Xu©n,Hoi Xuan,Quan Hãa,Thanh Hoa,14905,385,38,4010917
Phó Nghiªm,Phu Nghiem,Quan Hãa,Thanh Hoa,14911,385,38,4010911
Xu©n Phó,Xuan Phu,Quan Hãa,Thanh Hoa,14920,385,38,4010935
S¬n Thuû,Son Thuy,Quan S¬n,Thanh Hoa,15010,387,38,4011111
S¬n §iÖn,Son Dien,Quan S¬n,Thanh Hoa,15022,387,38,4011117
Tam Thanh,Tam Thanh,Quan S¬n,Thanh Hoa,15007,387,38,4011109
Tam L­,Tam Lu,Quan S¬n,Thanh Hoa,15019,387,38,4011115
Trung Xu©n,Trung Xuan,Quan S¬n,Thanh Hoa,14995,387,38,4011101
Trung H¹,Trung Ha,Quan S¬n,Thanh Hoa,15001,387,38,4011105
Trung Th­îng,Trung Thuong,Quan S¬n,Thanh Hoa,14998,387,38,4011103
S¬n Hµ,Son Ha,Quan S¬n,Thanh Hoa,15004,387,38,4011107
TT. Cµnh Nµng,Canh Nang town,B¸ Th­íc,Thanh Hoa,14923,386,38,4011301
Lòng Cao,Lung Cao,B¸ Th­íc,Thanh Hoa,14959,386,38,4011325
Thµnh S¬n,Thanh Son,B¸ Th­íc,Thanh Hoa,14938,386,38,4011311
Lòng Niªm,Lung Niem,B¸ Th­íc,Thanh Hoa,14956,386,38,4011323
Cæ Lòng,Co Lung,B¸ Th­íc,Thanh Hoa,14965,386,38,4011329
Thµnh L©m,Thanh Lam,B¸ Th­íc,Thanh Hoa,14968,386,38,4011331
H¹ Trung,Ha Trung,B¸ Th­íc,Thanh Hoa,14962,386,38,4011327
Ban C«ng,Ban Cong,B¸ Th­íc,Thanh Hoa,14971,386,38,4011333
T©n LËp,Tan Lap,B¸ Th­íc,Thanh Hoa,14989,386,38,4011345
L©m Sa,Lam Sa,B¸ Th­íc,Thanh Hoa,14983,386,38,4011341
ThiÕt KÕ,Thiet Ke,B¸ Th­íc,Thanh Hoa,14986,386,38,4011343
Kú T©n,Ky Tan,B¸ Th­íc,Thanh Hoa,14974,386,38,4011335
